legacy_agreement_key,legacy_student_id,concept_code,legacy_price_id,base_amount_snapshot,benefit_type_snapshot,benefit_value_snapshot,agreed_amount,valid_from,valid_until,reason,source
a8144361-4bce-487c-bc3a-949391e8d895|ENROLLMENT_FEE|2025-02-27,a8144361-4bce-487c-bc3a-949391e8d895,ENROLLMENT_FEE,4f80bae6-b058-47e6-b03c-a13f83632f11,1100.00,,,1100.00,2025-02-27,,,LEGACY_PRICE_HISTORY
5b6f10bf-24ec-4e49-8839-dbf02ee4cd75|ENROLLMENT_FEE|2025-02-01,5b6f10bf-24ec-4e49-8839-dbf02ee4cd75,ENROLLMENT_FEE,505d64b5-1f13-4d97-83fd-c16e02548d47,1100.00,,,1100.00,2025-02-01,,,LEGACY_PRICE_HISTORY
a71be5b5-f484-434a-912c-d679234166b5|TUITION|2025-09-02,a71be5b5-f484-434a-912c-d679234166b5,TUITION,51306c2b-e8a9-4dbb-957c-9de7c10e6b11,1600.00,,,1600.00,2025-09-02,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
84e478c3-33cf-44e4-a8d3-2fa0be7ff15d|TUITION|2025-09-01,84e478c3-33cf-44e4-a8d3-2fa0be7ff15d,TUITION,51407976-bc8f-4dd9-b95a-7873dceda760,1500.00,FIXED_AMOUNT,1500.00,0.00,2025-09-01,,Hija de maestra,LEGACY_PRICE_HISTORY
ea4ba647-d045-4e06-ae83-397c1aa0fb8d|TUITION|2025-09-01,ea4ba647-d045-4e06-ae83-397c1aa0fb8d,TUITION,5237f823-c1a2-469f-93eb-6bb23f341243,1500.00,,,1500.00,2025-09-01,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
fdee6234-bf6d-4d45-bbd4-731a1c453987|ENROLLMENT_FEE|2025-02-01,fdee6234-bf6d-4d45-bbd4-731a1c453987,ENROLLMENT_FEE,526ec4b4-d763-48b6-90ba-a90106533749,1100.00,,,1100.00,2025-02-01,,,LEGACY_PRICE_HISTORY
a71be5b5-f484-434a-912c-d679234166b5|ENROLLMENT_FEE|2025-09-01,a71be5b5-f484-434a-912c-d679234166b5,ENROLLMENT_FEE,52f1e6e5-036a-4ab2-93a8-19631d8be17d,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
d81e498e-7690-4676-9957-8b832ccf8ea0|ENROLLMENT_FEE|2025-09-01,d81e498e-7690-4676-9957-8b832ccf8ea0,ENROLLMENT_FEE,5457b412-9f54-408f-b045-8d6ca3ff63fb,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
df9c3a2b-804a-47bc-9b11-eb45575dad16|ENROLLMENT_FEE|2025-02-01,df9c3a2b-804a-47bc-9b11-eb45575dad16,ENROLLMENT_FEE,550b176a-596d-478b-81a5-38265b0ef84e,1100.00,,,1100.00,2025-02-01,,,LEGACY_PRICE_HISTORY
edd2b7ac-5bca-4650-8c2e-75f65e70849f|TUITION|2025-09-01,edd2b7ac-5bca-4650-8c2e-75f65e70849f,TUITION,555eb055-6d0a-4b79-b305-4e4aca9e51ca,1600.00,FIXED_AMOUNT,400.00,1200.00,2025-09-01,,beca hermanos,LEGACY_PRICE_HISTORY
